2016-02-11 14:52:16,598 | WARN  | Transport Connection to: tcp://127.0.0.1:59077 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59077@61616
2016-02-11 14:55:14,970 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:59374 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:59374@61616
2016-02-11 15:35:50,120 | WARN  | Transport Connection to: tcp://127.0.0.1:59390 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59390@61616
2016-02-11 15:35:50,123 | WARN  | Transport Connection to: tcp://127.0.0.1:59387 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59387@61616
2016-02-11 15:35:54,292 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:60634 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:60634@61616
2016-02-11 15:38:43,125 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:60693 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:60693@61616
2016-02-11 21:09:29,024 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:58223 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:58223@61616
2016-02-11 21:11:45,156 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:58271 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://0:0:0:0:0:0:0:1:58271 | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ InactivityMonitor Worker
2016-02-15 13:58:47,306 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5e0a14a: startup date [Mon Feb 15 13:58:47 MST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-02-15 13:58:49,691 | INFO  | PListStore:[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-02-15 13:58:50,038 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\isguser\Desktop\apache-activemq-5.10.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-02-15 13:58:50,322 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:1099/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2016-02-15 13:58:50,680 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-15 13:58:50,739 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-15 13:58:50,957 | INFO  | Recovery replayed 6256 operations from the journal in 0.246 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-02-15 13:58:51,158 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-63685-1455569930981-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-02-15 13:58:51,255 | INFO  | Listening for connections at: tcp://ISG-141576:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-15 13:58:51,260 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-02-15 13:58:51,283 | INFO  | Listening for connections at: amqp://ISG-141576:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-15 13:58:51,287 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-02-15 13:58:51,316 | INFO  | Listening for connections at: stomp://ISG-141576:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-02-15 13:58:51,320 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-02-15 13:58:51,597 | INFO  | Listening for connections at ws://ISG-141576:1884?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-15 13:58:51,598 | INFO  | Connector mqtt+ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-15 13:58:51,615 | INFO  | Listening for connections at ws://ISG-141576:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-02-15 13:58:51,617 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-02-15 13:58:51,620 | INFO  | Apache ActiveMQ 5.10.1 (localhost, ID:ISG-141576-63685-1455569930981-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-02-15 13:58:51,623 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-02-15 13:58:52,571 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-02-15 13:58:52,730 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-02-15 13:58:53,476 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2016-02-15 14:26:57,925 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63488 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63488@61616
2016-02-15 14:33:42,444 | WARN  | Transport Connection to: tcp://127.0.0.1:63632 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63632@61616
2016-02-15 14:34:15,369 | WARN  | Transport Connection to: tcp://127.0.0.1:63635 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63635@61616
2016-02-15 14:35:01,500 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63529 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63529@61616
2016-02-15 14:37:14,754 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63732 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63732@61616
2016-02-15 14:38:39,218 | WARN  | Transport Connection to: tcp://127.0.0.1:63750 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63750@61616
2016-02-15 14:38:39,218 | WARN  | Transport Connection to: tcp://127.0.0.1:63747 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63747@61616
2016-02-15 14:40:55,068 | WARN  | Transport Connection to: tcp://127.0.0.1:63874 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63874@61616
2016-02-15 14:41:01,031 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63847 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63847@61616
2016-02-15 14:41:01,153 | WARN  | Transport Connection to: tcp://127.0.0.1:63871 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63871@61616
2016-02-15 14:46:06,257 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:63938 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:63938@61616
2016-02-15 14:46:53,144 | WARN  | Transport Connection to: tcp://127.0.0.1:63954 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63954@61616
2016-02-15 14:46:53,146 | WARN  | Transport Connection to: tcp://127.0.0.1:63957 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63957@61616
2016-02-15 14:52:02,296 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:64149 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:64149@61616
2016-02-15 14:52:39,977 | WARN  | Transport Connection to: tcp://127.0.0.1:64148 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64148@61616
2016-02-15 14:52:39,980 | WARN  | Transport Connection to: tcp://127.0.0.1:64145 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64145@61616
2016-02-15 14:59:17,177 | WARN  | Transport Connection to: tcp://0:0:0:0:0:0:0:1:64334 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///0:0:0:0:0:0:0:1:64334@61616
2016-02-15 15:05:09,851 | WARN  | Transport Connection to: tcp://127.0.0.1:64358 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64358@61616
2016-02-15 15:05:09,854 | WARN  | Transport Connection to: tcp://127.0.0.1:64356 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:64356@61616
2016-02-16 19:58:37,625 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3aa09a08: startup date [Tue Feb 16 19:58:37 MST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
